bandes,services,renvoie_specifique,text_renvoie_specifique,renvoie_global,text_renvoie_global,observation
"Inférieure à 8,3",Non attribuée,,,5.53,"Les administrations qui autorisent l'emploi de fréquences inférieures à 8,3 kHz doivent s'assurer qu'aucun brouillage préjudiciable n'est causé aux services auxquels sont attribuées les bandes de fréquences supérieures à 8,3 kHz.     (CMR-12)",
"Inférieure à 8,3",Non attribuée,,,,PREAMBULE,
"Inférieure à 8,3",Non attribuée,,,,PREAMBULE,
"Inférieure à 8,3",Non attribuée,,,,PREAMBULE,
"Inférieure à 8,3",Non attribuée,,,5.54,"Les administrations qui effectuent des recherches scientifiques sur des fréquences inférieures à 8.3KHz sont instamment priées d'en informer les autres administrations qui pourraient être concernées, afin que ces recherches bénéficient de toute la protection pratiquement réalisable contre les brouillages préjudiciables. (CMR-12)",
"8,3-9 ",AUXILIAIRES DE LA MÉTÉOROLOGIE ,5.54A    5.54B     5.54C ,,,,"Applications SRD inductives    (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"9-11,3",AUXILIAIRES DE LA MÉTÉOROLOGIE   ,5.54A,"L'utilisation de la bande de fréquences 8,3-11,3 kHz par les stations du service des auxiliaires de la météorologie est limitée à une utilisation passive uniquement. Dans la bande 9-11,3 kHz, les stations du service des auxiliaires de la météorologie ne doivent pas demander à être protégées vis-à-vis des stations du service de radionavigation notifiées au Bureau avant le 1er janvier 2013. Pour le partage entre les stations du service des auxiliaires de la météorologie et les stations du service de radionavigation notifiées après cette date, il convient d'appliquer les dispositions de la version la plus récente de la Recommandation UIT-R RS.1881.     (CMR-12)",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"9-11,3",AUXILIAIRES DE LA MÉTÉOROLOGIE   ,,,,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"9-11,3",RADIONAVIGATION,,,,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"9-11,3",RADIONAVIGATION,,,,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
11.3-14,RADIONAVIGATION,,,,,
